n,t_ome,t_to,type
18,0.887766438,0.003950924,d3
18,2.417626109,0.025168392,d3
18,1.1195393,0.002891985,d3
18,3.176692323,0.021947895,d3
18,3.203434502,0.02161173,d3
18,0.317482343,0.00343928,d3
18,1.427242828,0.004258755,d3
18,3.021632186,0.021626522,d3
20,32.972921505,0.170312442,d3
20,11.770535252,0.038688051,d3
20,10.561399361,0.034971192,d3
20,4.149420532,0.004176622,d3
20,6.946368008,0.037425437,d3
20,25.96685352,0.025760928,d3
20,23.684180469,0.029670708,d3
20,26.314752444,0.024303547,d3
20,0.038661716,0.004648367,d3
20,1.676144705,0.004923396,d3
7,7.7621e-5,3.0714e-5,grid
7,8.6771e-5,3.5111e-5,grid
7,7.7349e-5,3.0511e-5,grid
7,0.000110527,4.6917e-5,grid
7,8.7808e-5,3.5222e-5,grid
7,0.00011378,5.9882e-5,grid
7,8.7819e-5,3.5114e-5,grid
7,7.0034e-5,3.7824e-5,grid
7,0.0001108,5.953e-5,grid
7,8.7004e-5,3.5205e-5,grid
10,0.000153771,5.2706e-5,grid
10,0.000298451,7.0336e-5,grid
10,0.000302453,0.000191552,grid
10,0.00018392,0.000103627,grid
10,0.000153954,5.2709e-5,grid
10,0.000308012,0.000193144,grid
10,0.000316867,0.00019096,grid
10,0.000302448,0.000206645,grid
10,0.000193209,0.000104535,grid
12,0.000301586,0.000183801,grid
12,0.000318175,0.000108343,grid
12,0.000846947,0.000220892,grid
12,0.000281101,9.9083e-5,grid
12,0.000629746,9.2538e-5,grid
12,0.000633691,0.000132061,grid
12,0.001376847,0.0008912,grid
12,0.000608649,0.000318812,grid
12,0.000537461,0.000254653,grid
12,0.000208243,6.9336e-5,grid
13,0.000409861,0.000261044,grid
13,0.000276258,0.000106339,grid
13,0.000389911,0.000266364,grid
13,0.001952563,0.000537808,grid
13,0.00046935,0.00042053,grid
13,0.00128359,0.000256738,grid
13,0.001034841,0.000631777,grid
16,0.00060475,0.00079109,grid
16,0.002032358,0.001143009,grid
16,0.000340256,0.000112947,grid
16,0.0005625,0.00013236,grid
16,0.000832161,0.000712572,grid
20,0.001141277,0.001431341,grid
20,0.001406764,0.001236273,grid
20,0.001219469,0.000218288,grid
20,0.002567484,0.002310442,grid
20,0.058056378,0.004903963,grid
20,0.001260144,0.007856607,grid
20,0.018639446,0.001926829,grid
