type,file,tw
d3,n18-6.gr,5
d3,n18-7.gr,5
d3,n18-8.gr,4
d3,n18-9.gr,4
d3,n20-10.gr,4
d3,n20-1.gr,5
d3,n20-2.gr,4
d3,n20-3.gr,4
d3,n20-4.gr,4
d3,n20-5.gr,4
d3,n20-6.gr,4
d3,n20-7.gr,5
d3,n20-8.gr,5
d3,n20-9.gr,3
d3,n22-10.gr,4
d3,n22-1.gr,5
d3,n22-2.gr,5
d3,n22-3.gr,4
d3,n22-4.gr,5
d3,n22-5.gr,4
d3,n22-6.gr,3
d3,n22-7.gr,4
d3,n22-8.gr,4
d3,n22-9.gr,5
d3,n24-10.gr,6
d3,n24-1.gr,4
d3,n24-2.gr,4
d3,n24-3.gr,5
d3,n24-4.gr,5
d3,n24-5.gr,4
d3,n24-6.gr,6
d3,n24-7.gr,6
d3,n24-8.gr,4
d3,n24-9.gr,4
d3,n26-10.gr,4
d3,n26-1.gr,5
d3,n26-2.gr,5
d3,n26-3.gr,5
d3,n26-4.gr,5
d3,n26-5.gr,6
d3,n26-6.gr,5
d3,n26-7.gr,5
d3,n26-8.gr,6
d3,n26-9.gr,5
d3,n28-10.gr,4
d3,n28-1.gr,5
d3,n28-2.gr,5
d3,n28-3.gr,5
d3,n28-4.gr,5
d3,n28-5.gr,6
d3,n28-6.gr,5
d3,n28-7.gr,5
d3,n28-8.gr,5
d3,n28-9.gr,6
d3,n30-10.gr,5
d3,n30-1.gr,5
d3,n30-2.gr,5
d3,n30-3.gr,6
d3,n30-4.gr,6
d3,n30-5.gr,6
d3,n30-6.gr,4
d3,n30-7.gr,5
d3,n30-8.gr,5
d3,n30-9.gr,5
